,bh,bh_id,bj,jg_id,jgmc,njdm_id,njmc,xqh_id,zyh,zyh_id,zymc
61,15097001,15097001,园林151,9,建筑与城市规划学院,2015,2015,1,970,970,风景园林(0970)
62,15097002,15097002,园林152,9,建筑与城市规划学院,2015,2015,1,970,970,风景园林(0970)
63,15103001,15103001,会展151,10,旅游学院(中法旅游学院),2015,2015,1,1030,1030,会展经济与管理(1030)
64,15103002,15103002,会展152,10,旅游学院(中法旅游学院),2015,2015,1,1030,1030,会展经济与管理(1030)
65,15103003,15103003,会展153,10,旅游学院(中法旅游学院),2015,2015,1,1030,1030,会展经济与管理(1030)
66,15101001,15101001,旅游151,10,旅游学院(中法旅游学院),2015,2015,1,1015,1015,旅游管理(旅游企业管理)(1015)
67,15101002,15101002,旅游152,10,旅游学院(中法旅游学院),2015,2015,1,1013,1013,旅游管理(酒店管理)(1013)
68,15101003,15101003,旅游153,10,旅游学院(中法旅游学院),2015,2015,1,1015,1015,旅游管理(旅游企业管理)(1015)
69,15101004,15101004,旅游154,10,旅游学院(中法旅游学院),2015,2015,1,1027,1027,旅游管理(校企协同育人实验班)(1027)
70,15102001,15102001,中法151,10,旅游学院(中法旅游学院),2015,2015,1,1026,1026,旅游管理[中法](1026)
71,15102002,15102002,中法152,10,旅游学院(中法旅游学院),2015,2015,1,1026,1026,旅游管理[中法](1026)
72,15102003,15102003,中法153,10,旅游学院(中法旅游学院),2015,2015,1,,,
73,15117001,15117001,产品151,11,美术与设计学院,2015,2015,1,1170,1170,产品设计(1170)
74,15117002,15117002,产品152,11,美术与设计学院,2015,2015,1,1170,1170,产品设计(1170)
75,15112001,15112001,动画151,11,美术与设计学院,2015,2015,1,1127,1127,动画(影视动画)(1127)
76,15112002,15112002,动画152,11,美术与设计学院,2015,2015,1,1127,1127,动画(影视动画)(1127)
77,15112003,15112003,动画153,11,美术与设计学院,2015,2015,1,1128,1128,动画(游戏动画)(1128)
78,15118001,15118001,服装151,11,美术与设计学院,2015,2015,1,1181,1181,服装与服饰设计(服装设计)(1181)
79,15118002,15118002,服装152,11,美术与设计学院,2015,2015,1,1182,1182,服装与服饰设计(服装表演与设计)(1182)
80,15113901,15113901,环设151,11,美术与设计学院,2015,2015,1,1139,1139,环境设计(1139)
81,15113902,15113902,环设152,11,美术与设计学院,2015,2015,1,1139,1139,环境设计(1139)
82,15116001,15116001,绘画151,11,美术与设计学院,2015,2015,1,1160,1160,绘画(1160)
83,15111001,15111001,美术151,11,美术与设计学院,2015,2015,1,1111,1111,美术学(教师教育)(1111)
84,15111002,15111002,美术152,11,美术与设计学院,2015,2015,1,1111,1111,美术学(教师教育)(1111)
85,15111003,15111003,美术153,11,美术与设计学院,2015,2015,1,1111,1111,美术学(教师教育)(1111)
86,15119001,15119001,视觉151,11,美术与设计学院,2015,2015,1,1190,1190,视觉传达设计(1190)
87,15119002,15119002,视觉152,11,美术与设计学院,2015,2015,1,1190,1190,视觉传达设计(1190)
88,15124001,15124001,汉教151,12,人文学院(含十三行研究中心),2015,2015,1,1240,1240,汉语国际教育(1240)
89,15121001,15121001,汉语151,12,人文学院(含十三行研究中心),2015,2015,1,1211,1211,汉语言文学(教师教育)(1211)
90,15121002,15121002,汉语152,12,人文学院(含十三行研究中心),2015,2015,1,1211,1211,汉语言文学(教师教育)(1211)
91,15121003,15121003,汉语153,12,人文学院(含十三行研究中心),2015,2015,1,1211,1211,汉语言文学(教师教育)(1211)
92,15121004,15121004,汉语154,12,人文学院(含十三行研究中心),2015,2015,1,1215,1215,汉语言文学(创作与编辑)(1215)
93,15121005,15121005,汉语155,12,人文学院(含十三行研究中心),2015,2015,1,1216,1216,汉语言文学(戏剧与影视学)(1216)
94,15121006,15121006,汉语156,12,人文学院(含十三行研究中心),2015,2015,1,1212,1212,汉语言文学(文学)(1212)
95,15121007,15121007,汉语157,12,人文学院(含十三行研究中心),2015,2015,1,1213,1213,汉语言文学(应用语言学)(1213)
96,15121008,15121008,汉语158,12,人文学院(含十三行研究中心),2015,2015,1,1214,1214,汉语言文学(秘书学)(1214)
97,15121009,15121009,汉语159,12,人文学院(含十三行研究中心),2015,2015,1,1214,1214,汉语言文学(秘书学)(1214)
98,15122001,15122001,历史151,12,人文学院(含十三行研究中心),2015,2015,1,1221,1221,历史学(教师教育)(1221)
99,15122002,15122002,历史152,12,人文学院(含十三行研究中心),2015,2015,1,1222,1222,历史学(文化资源开发与利用)(1222)
100,15125001,15125001,预科151,12,人文学院(含十三行研究中心),2015,2015,1,1250,1250,少数民族预科班(1250)
101,15142001,15142001,生工151,14,生命科学学院,2015,2015,1,1420,1420,生物工程(1420)
102,15152002,15152002,生工152,14,生命科学学院,2015,2015,1,,,
103,15143001,15143001,生技151,14,生命科学学院,2015,2015,1,1430,1430,生物技术(1430)
104,15153002,15153002,生技152,14,生命科学学院,2015,2015,1,,,
105,15141001,15141001,生科151,14,生命科学学院,2015,2015,1,1410,1410,生物科学(1410)
106,15141002,15141002,生科152,14,生命科学学院,2015,2015,1,,,
